StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,261 - personal_1,261 - personal_2,261 - personal_3,261 - user query,261 - rating_12,261 - rating_13,261 - rating_14,261 - rating_15,261 - rating_16,261 - rating_17,297 - personal_1,297 - personal_2,297 - personal_3,297 - user query,297 - rating_1,297 - rating_2,297 - rating_3,297 - rating_4,297 - rating_5,297 - rating_12,244 - personal_1,244 - personal_2,244 - personal_3,244 - user query,244 - rating_12,244 - rating_13,244 - rating_14,244 - rating_15,244 - rating_16,244 - rating_17,238 - personal_1,238 - personal_2,238 - personal_3,238 -Â user query,238 - rating_1,238 - rating_2,238 - rating_3,238 - rating_4,238 - rating_5,238 - rating_12,Random ID,mistakes
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Please read the backstory carefully and answer the following questions.
Backstory:It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - sore throat home remedy","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - sore throat","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - home care cough remedy","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - what can i use to cure a sore throat","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - what are some homemade remedy for a sore throat","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - nausea remedy","Please read the backstory carefully and answer the following questions.
Backstory:You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - altitude sickness prevention","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - altitude sickness","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - treatment for altitude sickness","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - how to overcome altitude sickness","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - mexico city altitude sickness prevention","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - new mexico altitude","Please read the backstory carefully and answer the following questions.
Backstory:Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - old town scottsdale history","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - old town scottsdale","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - history of old town scottsdale arizona","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - old town scottsdale phoenix","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - info on old town scottsdale","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - order of the phoenix","Please read the backstory carefully and answer the following questions.
Backstory:Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - george h w bush","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - george hw bush biography","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - george bush","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - president george h w bush biography","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - what is a good biography on george h w bush","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - bosch in usa",Random ID,mistakes
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_12""}","{""ImportId"":""QID29_13""}","{""ImportId"":""QID29_14""}","{""ImportId"":""QID29_15""}","{""ImportId"":""QID29_16""}","{""ImportId"":""QID29_17""}","{""ImportId"":""QID30_9""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_12""}","{""ImportId"":""QID33_9""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_12""}","{""ImportId"":""QID35_13""}","{""ImportId"":""QID35_14""}","{""ImportId"":""QID35_15""}","{""ImportId"":""QID35_16""}","{""ImportId"":""QID35_17""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_12""}","{""ImportId"":""Random ID""}","{""ImportId"":""mistakes""}"
2022-02-09 12:03:08,2022-02-09 12:04:52,0,98.212.187.205,100,104,1,2022-02-09 12:04:53,R_1rvKhenX6jnnQ6z,,,,,42.0753936767578125,-87.82219696044921875,anonymous,EN,0.100000001490116119384765625,,,,,1,1,1,cough folk remedies,4,2,4,4,4,1,1,1,5,"prevent altitude sickness ",5,3,3,3,4,1,1,1,5,Old Town Scottsdale,5,5,5,5,5,1,1,1,5,"George H. W. Bush biography ",3,4,2,5,4,1,351041054562,0
2022-02-09 12:02:28,2022-02-09 12:05:44,0,162.196.176.250,100,195,1,2022-02-09 12:05:44,R_1LFmU3qaBAwdIcG,,,,,34.235992431640625,-118.52349853515625,anonymous,EN,0.89999997615814208984375,,0,0,,3,3,4,Sore Throat Fold Remedies,5,2,3,4,5,1,4,4,5,altitude sickness prevention and treatment,5,3,5,5,4,1,2,2,4,Old Town Scottsdale History,5,4,5,4,4,1,4,4,5,George H.W. Bush Biography,3,4,3,4,5,1,488004806148,0
2022-02-09 12:49:00,2022-02-09 12:51:22,0,73.247.81.157,100,142,1,2022-02-09 12:51:23,R_27pNVpbKBFdoMow,,,,,41.902496337890625,-87.67259979248046875,anonymous,EN,1,,0,0,,4,4,4,Sore throat home remedies,5,3,5,4,4,1,2,4,4,Altitude sickness treatment,5,3,5,5,5,1,1,3,4,Old Town Scottsdale,5,5,5,4,5,1,3,4,4,George H.W. Bush Biography,3,5,2,5,4,1,167620356334,0
2022-02-10 04:02:58,2022-02-10 04:05:19,0,104.169.163.46,100,140,1,2022-02-10 04:05:24,R_Zl8mwons8TsxfCF,,,,,35.042205810546875,-83.78299713134765625,anonymous,EN,1,,0,0,,3,4,4,sore throat folk remedies,5,3,4,4,5,1,2,4,4,altitude sickness treatment,5,3,5,5,5,1,1,2,4,history of old town scottsdale,5,4,5,4,4,1,3,2,4,George W Bush biography,2,5,2,5,5,1,605751604493,0
2022-02-10 07:32:05,2022-02-10 07:35:52,0,72.221.95.3,100,226,1,2022-02-10 07:35:52,R_3M0bTYPsGlsPzmp,,,,,41.5316925048828125,-72.79489898681640625,anonymous,EN,1,,0,0,,2,4,3,easy at-home sore throat remedies without cough drops,5,2,3,4,5,1,2,3,4,preventing and treating altitude sickness,5,3,5,3,5,1,1,4,4,Old Town Scottsdale history,5,4,5,3,4,1,4,2,4,best George H W Bush biography,3,5,2,5,5,1,555055950372,0
2022-02-10 13:08:54,2022-02-10 13:11:24,0,69.245.176.179,100,149,1,2022-02-10 13:11:24,R_1KxQ8vxC9bYrF2p,,,,,41.9459991455078125,-87.70330047607421875,anonymous,EN,0.89999997615814208984375,,,,,4,4,2,natural sore throat remedy,5,2,5,2,2,1,4,4,3,altitude sickness mexico city,5,4,5,3,5,1,1,3,4,old town scottsdale history,5,4,4,4,3,1,4,3,4,george hw bush,3,5,2,3,2,1,153747584274,0
2022-02-10 21:49:31,2022-02-10 22:04:29,0,68.102.182.181,100,897,1,2022-02-10 22:04:29,R_2PBCneB66qQFUTI,,,,,38.374603271484375,-97.67299652099609375,anonymous,EN,1,,0,0,,5,4,5,sore throat home remedies,5,2,4,5,4,1,1,3,3,treatment for altitude sickness,5,1,4,3,2,1,2,2,4,history of Old Town Scottsdale,4,4,5,3,4,1,4,2,4,History of president H. W. Bush,4,4,3,5,4,1,456111818179,0
2022-02-10 22:59:33,2022-02-10 23:03:08,0,74.128.24.2,100,214,1,2022-02-10 23:03:08,R_2Sv0JI9hjzAVwAm,,,,,40.2738037109375,-81.86620330810546875,anonymous,EN,1,,0,0,,4,5,5,"Home remedy sore throat ",5,3,2,5,5,1,2,4,5,Home treatments altitude sickness,4,2,5,5,5,3,2,5,4,Old Town Scottsdale history,5,5,5,5,5,1,4,3,5,George H W Bush wiki,5,5,5,5,5,1,853913585119,1
